ttr, vv 
0.551282051282 421
0.522522522523 286
0.542168674699 442
0.553072625698 554
0.607476635514 274
0.5 331
0.490099009901 550
0.633663366337 296
0.649350649351 196
0.609523809524 260
0.637254901961 263
0.537777777778 604
0.520202020202 514
0.44696969697 654
0.554838709677 385
0.520231213873 436
0.474452554745 712
0.583333333333 282
0.509523809524 559
0.704918032787 157
0.6 165
0.65625 153
0.574257425743 242
0.614457831325 204
0.616279069767 224
0.545454545455 425
0.572368421053 377
0.539130434783 314
0.769230769231 139
0.7 261
0.564356435644 268
0.601449275362 354
0.447368421053 468
0.641304347826 228
0.638095238095 262
0.666666666667 184
0.601449275362 397
0.538461538462 375
0.666666666667 249
0.663043478261 227
0.857142857143 105
0.590551181102 327
0.635294117647 230
0.666666666667 245
0.739726027397 194
0.651162790698 209
0.622222222222 230
0.579545454545 216
0.620689655172 235
0.582089552239 311
0.679611650485 259
0.521472392638 429
0.75 257
0.670886075949 217
0.542372881356 300
0.56862745098 400
0.65625 251
0.618644067797 335
0.615384615385 223
0.617021276596 282
0.496240601504 707
0.530303030303 315
0.592920353982 271
0.629921259843 310
0.49756097561 501
0.63768115942 168
0.59 246
0.733333333333 117
0.603174603175 158
0.566666666667 240
0.595505617978 220
0.560810810811 388
0.511111111111 321
0.446808510638 458
0.6875 215
0.585185185185 326
0.670588235294 218
0.62962962963 132
0.528985507246 339
0.492647058824 335
0.524590163934 292
0.710526315789 197
0.641304347826 229
0.573643410853 329
0.662337662338 201
0.635416666667 245
0.6875 167
0.777777777778 150
0.807692307692 132
0.741935483871 167
0.626666666667 194
0.616071428571 282
0.578947368421 154
0.564705882353 204
0.660550458716 295
0.409495548961 843
0.494186046512 442
0.449152542373 577
0.523076923077 472
0.463114754098 582
0.545454545455 252
0.595588235294 365
0.461224489796 620
0.4463840399 1030
0.400756143667 1467
0.69014084507 189
0.66 121
0.584615384615 161
0.691176470588 164
0.567307692308 262
0.694117647059 215
0.586419753086 437
0.642857142857 220
0.588888888889 210
0.612903225806 328
0.519480519481 386
0.541353383459 339
0.62962962963 257
0.761904761905 102
0.695652173913 119
0.590643274854 436
0.666666666667 143
0.638554216867 220
0.595238095238 207
0.645454545455 301
0.59 246
0.527559055118 327
0.712121212121 169
0.78431372549 130
0.686746987952 230
0.788461538462 150
0.505434782609 474
0.5234375 337
0.592233009709 238
0.560344827586 303
0.512987012987 377
0.623376623377 200
0.5625 337
0.617283950617 206
0.521978021978 461
0.637168141593 299
0.62 281
0.568181818182 231
0.813953488372 102
0.56976744186 431
0.588235294118 226
0.654545454545 271
0.632911392405 223
0.475555555556 558
0.720588235294 183
0.690909090909 148
0.538922155689 430
0.510869565217 510
0.538461538462 482
0.583941605839 353
0.659090909091 216
0.710526315789 206
0.701492537313 167
0.512987012987 395
0.647540983607 316
0.586206896552 309
0.604651162791 210
0.565789473684 175
0.5 322
0.620689655172 220
0.647058823529 359
0.463157894737 461
0.581151832461 506
0.502463054187 529
0.590909090909 218
0.644230769231 267
0.423645320197 499
0.512658227848 399
0.555555555556 231
0.607692307692 339
0.75 184
0.746478873239 182
0.506097560976 409
0.474489795918 522
0.564356435644 245
0.482051282051 489
0.468085106383 593
0.501694915254 780
0.470238095238 425
0.533333333333 282
0.529801324503 348
0.573770491803 302
0.65625 342
0.5625 392
0.602150537634 249
0.674157303371 228
0.720588235294 148
0.663043478261 227
0.655737704918 123
0.507853403141 457
0.714285714286 232
0.777777777778 150
0.476470588235 411
0.475862068966 372
0.585365853659 345
0.559633027523 248
0.6625 205
0.642857142857 247
0.5 291
0.75 199
0.507462686567 315
0.727272727273 146
0.613636363636 236
0.5 231
0.676056338028 166
0.728813559322 155
0.58064516129 240
0.533333333333 456
0.537414965986 346
0.645569620253 206
0.67816091954 219
0.612244897959 253
0.757142857143 159
0.909090909091 134
0.595744680851 245
0.765957446809 117
0.54954954955 282
0.623762376238 257
0.722222222222 188
0.694736842105 269
0.72602739726 200
0.551724137931 397
0.547826086957 286
0.615384615385 296
0.615942028986 363
0.565217391304 298
0.725 197
0.688524590164 151
0.606837606838 304
0.522935779817 250
0.583333333333 277
0.538961038961 395
0.48167539267 509
0.69 244
0.537234042553 490
0.512987012987 356
0.645161290323 236
0.972222222222 1925
0.564356435644 255
0.487804878049 346
0.445497630332 539
0.65625 156
0.71875 68
0.438016528926 306
0.635416666667 279
0.480769230769 702
0.544117647059 545
0.468864468864 731
0.428571428571 474
0.586206896552 118
0.511278195489 339
0.438405797101 656
0.621052631579 272
0.663265306122 239
0.463768115942 330
0.378548895899 820
0.612612612613 250
0.6 309
0.497354497354 479
0.6 238
0.679012345679 241
0.678571428571 150
0.602941176471 346
0.663636363636 290
0.577235772358 323
0.7125 208
0.609523809524 245
0.679487179487 184
0.491525423729 582
0.482412060302 499
0.51269035533 511
0.522123893805 283
0.451776649746 459
0.523076923077 307
0.681318681319 232
0.529801324503 383
0.723076923077 164
0.574074074074 248
0.541353383459 341
0.514563106796 270
0.504201680672 275
0.583333333333 157
0.552147239264 448
0.474789915966 614
0.421404682274 723
0.612403100775 327
0.464 308
0.44 388
0.509578544061 672
0.722891566265 201
0.448484848485 417
0.54 244
0.586666666667 191
0.530864197531 202
0.647619047619 241
0.583941605839 336
0.727272727273 196
0.777777777778 117
0.589473684211 242
0.619565217391 236
0.686274509804 125
0.686274509804 118
0.59649122807 272
0.77358490566 137
0.650793650794 157
0.710526315789 191
0.61935483871 400
0.613924050633 387
0.671875 152
0.533834586466 331
0.538461538462 174
0.608333333333 299
0.338199513382 998
0.660869565217 295
0.65306122449 118
0.690909090909 136
0.707692307692 165
0.769230769231 65
0.516483516484 200
0.666666666667 118
0.622641509434 124
0.507042253521 166
0.754385964912 145
0.435114503817 294
0.808510638298 106
0.575471698113 265
0.717948717949 89
0.704918032787 136
0.614035087719 143
0.64 202
0.626262626263 265
0.465437788018 517
0.705882352941 214
0.657142857143 187
0.544117647059 176
0.564516129032 279
0.645569620253 185
0.658536585366 115
0.430769230769 683
0.313725490196 923
0.46 509
0.524193548387 347
0.523076923077 264
0.508064516129 288
0.704225352113 165
0.602941176471 153
0.573913043478 269
0.678260869565 313
0.731343283582 185
0.496551724138 345
0.716417910448 175
0.504424778761 310
0.484848484848 364
0.449612403101 334
0.456692913386 295
0.392156862745 492
0.6 287
0.458823529412 639
0.585585585586 277
0.661764705882 174
0.654320987654 234
0.862068965517 77
0.530386740331 480
0.445714285714 417
0.646153846154 316
0.48275862069 871
0.528301886792 570
0.529411764706 381
0.58024691358 424
0.650485436893 252
0.592592592593 244
0.72 116
0.463276836158 475
0.571428571429 430
0.698412698413 155
0.55652173913 298
0.48623853211 289
0.514925373134 338
0.556818181818 451
0.532258064516 275
0.698795180723 218
0.75 104
0.717391304348 97
0.777777777778 143
0.5625 354
0.59756097561 202
0.764705882353 84
0.46875 334
0.546511627907 220
0.693548387097 157
0.529680365297 575
0.441558441558 570
0.497267759563 426
0.582278481013 199
0.452380952381 198
0.550561797753 204
0.581196581197 266
0.592857142857 360
0.632183908046 243
0.582608695652 282
0.560810810811 404
0.572727272727 267
0.505154639175 224
0.520833333333 231
0.423913043478 435
0.395604395604 423
0.656862745098 268
0.529411764706 256
0.472 277
0.654761904762 222
0.658227848101 200
0.529914529915 324
0.566265060241 204
0.532258064516 309
0.571428571429 199
0.636363636364 228
0.697368421053 195
0.593023255814 200
0.680555555556 195
0.558558558559 263
0.685714285714 176
0.6 246
0.612068965517 287
0.619047619048 194
0.658536585366 185
0.4296875 341
0.478260869565 175
0.602040816327 241
0.75 121
0.629921259843 321
0.586206896552 138
0.614285714286 178
0.666666666667 78
0.5 370
0.566037735849 427
0.525179856115 352
0.468965517241 382
0.520325203252 309
0.552845528455 356
0.616666666667 155
0.656565656566 251
0.571428571429 333
0.648351648352 240
0.440860215054 441
0.525423728814 278
0.543209876543 220
0.407079646018 534
0.793650793651 173
0.703703703704 133
0.468531468531 318
0.567901234568 194
0.648936170213 220
0.613861386139 265
0.467532467532 378
0.550458715596 305
0.571428571429 350
0.47619047619 316
0.588235294118 266
0.727272727273 136
0.597014925373 180
0.710144927536 191
0.714285714286 199
0.75 152
0.527131782946 339
0.614035087719 125
0.710526315789 96
0.719298245614 149
0.677419354839 161
0.63 251
0.708333333333 187
0.526315789474 413
